idade,renda_mensal,historico_credito,tempo_emprego,tipo_residencia,estado_civil,numero_dependentes,valor_solicitado,finalidade_credito,risco
25,2339.32,Excelente,11,Alugada,Solteiro,2,26129.23,Educação,Baixo Risco
29,1633.02,Excelente,15,Própria,Casado,1,20064.71,Veículo,Alto Risco
51,1000.0,Bom,10,Própria,Solteiro,1,1000.0,Veículo,Baixo Risco
50,5744.07,Bom,9,Própria,Solteiro,1,10877.17,Pessoal,Baixo Risco
65,4481.55,Ruim,24,Própria,Casado,1,1000.0,Imóvel,Alto Risco
40,3416.62,Regular,19,Alugada,Solteiro,1,13426.56,Negócio,Baixo Risco
41,3919.95,Regular,3,Alugada,Casado,0,11013.51,Veículo,Baixo Risco
54,1811.77,Excelente,11,Alugada,Casado,3,21678.84,Pessoal,Alto Risco
52,7168.63,Ruim,22,Própria,Casado,2,7951.85,Imóvel,Baixo Risco
61,3693.83,Regular,1,Própria,Divorciado,0,18101.88,Educação,Alto Risco
57,3664.09,Excelente,23,Alugada,Casado,3,19550.78,Pessoal,Baixo Risco
39,4588.65,Regular,21,Alugada,Casado,1,17057.56,Imóvel,Baixo Risco
44,4221.51,Regular,18,Alugada,Casado,2,24120.99,Imóvel,Baixo Risco
52,3835.83,Excelente,24,Própria,Divorciado,1,31546.31,Veículo,Baixo Risco
18,2314.29,Bom,4,Familiar,Divorciado,2,15895.54,Veículo,Alto Risco
52,4207.2,Bom,7,Própria,Divorciado,1,18241.44,Pessoal,Baixo Risco
54,6323.04,Excelente,6,Alugada,Casado,0,7957.78,Educação,Baixo Risco
64,5518.13,Ruim,13,Alugada,Solteiro,2,6843.81,Imóvel,Alto Risco
31,5889.78,Ruim,23,Alugada,Solteiro,0,23270.64,Veículo,Alto Risco
20,2733.18,Regular,22,Própria,Solteiro,1,22212.2,Veículo,Alto Risco
18,2015.59,Bom,2,Alugada,Divorciado,1,6763.04,Pessoal,Alto Risco
22,3311.32,Bom,17,Financiada,Casado,3,4534.24,Educação,Baixo Risco
43,3583.59,Regular,15,Própria,Casado,0,9810.11,Veículo,Baixo Risco
31,5141.29,Regular,22,Própria,Solteiro,0,13868.98,Veículo,Baixo Risco
56,1000.0,Excelente,18,Própria,Divorciado,2,11726.99,Veículo,Alto Risco
44,5794.33,Regular,18,Financiada,Solteiro,2,16284.12,Veículo,Baixo Risco
26,3262.99,Ruim,17,Própria,Solteiro,0,22336.5,Pessoal,Alto Risco
32,2859.68,Bom,19,Familiar,Casado,0,18696.84,Pessoal,Baixo Risco
32,1981.84,Excelente,15,Alugada,Casado,0,19288.97,Pessoal,Baixo Risco
43,1017.71,Regular,7,Familiar,Casado,2,1000.0,Educação,Baixo Risco
59,4734.76,Bom,0,Familiar,Divorciado,3,2088.78,Pessoal,Baixo Risco
30,3609.98,Bom,16,Alugada,Solteiro,0,8628.35,Pessoal,Baixo Risco
68,1565.06,Excelente,11,Própria,Casado,2,9948.85,Educação,Alto Risco
49,1557.38,Bom,20,Própria,Casado,1,21718.62,Pessoal,Alto Risco
56,2996.32,Regular,10,Própria,Solteiro,4,7968.79,Imóvel,Baixo Risco
66,6003.53,Regular,4,Financiada,Divorciado,1,20335.42,Veículo,Alto Risco
69,3110.61,Bom,11,Própria,Casado,2,8719.15,Pessoal,Baixo Risco
49,1245.29,Ruim,16,Própria,Casado,2,5392.93,Veículo,Alto Risco
21,3131.39,Ruim,5,Alugada,Divorciado,2,5764.4,Pessoal,Alto Risco
47,3090.91,Ruim,0,Familiar,Casado,2,33066.13,Educação,Alto Risco
54,1000.0,Bom,4,Própria,Solteiro,1,8541.08,Veículo,Alto Risco
40,3418.56,Bom,24,Própria,Casado,1,20527.9,Pessoal,Baixo Risco
56,3153.6,Ruim,13,Própria,Solteiro,1,2534.41,Pessoal,Baixo Risco
62,4544.31,Regular,4,Familiar,Solteiro,4,26351.43,Veículo,Alto Risco
32,6273.43,Excelente,21,Alugada,Solteiro,0,17792.33,Pessoal,Baixo Risco
60,5189.85,Excelente,23,Própria,Casado,0,17191.83,Pessoal,Baixo Risco
46,3096.67,Bom,0,Própria,Casado,2,18310.62,Veículo,Alto Risco
53,1840.21,Ruim,17,Própria,Solteiro,1,19192.0,Educação,Alto Risco
30,7360.04,Regular,15,Própria,Casado,0,21472.54,Veículo,Baixo Risco
49,3588.83,Bom,8,Familiar,Divorciado,4,10207.22,Imóvel,Baixo Risco
24,3520.89,Excelente,18,Financiada,Solteiro,1,9739.29,Educação,Baixo Risco
68,3463.81,Regular,21,Alugada,Solteiro,0,15393.79,Pessoal,Baixo Risco
39,3797.13,Ruim,4,Financiada,Casado,3,20475.42,Educação,Alto Risco
45,3283.46,Bom,1,Própria,Solteiro,0,14466.76,Educação,Baixo Risco
19,2639.51,Regular,14,Financiada,Casado,1,21191.21,Veículo,Alto Risco
59,2679.71,Ruim,6,Financiada,Solteiro,1,19942.69,Negócio,Alto Risco
62,3450.87,Bom,3,Própria,Casado,0,13264.13,Pessoal,Baixo Risco
23,2684.86,Regular,0,Financiada,Casado,2,1022.56,Pessoal,Alto Risco
45,2430.73,Bom,12,Própria,Casado,0,10971.78,Educação,Baixo Risco
45,3659.65,Regular,19,Própria,Divorciado,1,28942.38,Veículo,Baixo Risco
61,3117.53,Regular,21,Própria,Divorciado,2,17720.48,Veículo,Alto Risco
61,5755.99,Regular,6,Alugada,Casado,1,9883.6,Pessoal,Baixo Risco
37,1000.0,Regular,14,Financiada,Casado,1,17005.21,Educação,Alto Risco
47,5137.26,Bom,22,Familiar,Solteiro,1,20413.15,Educação,Baixo Risco
28,5369.13,Ruim,13,Alugada,Casado,2,9887.48,Imóvel,Baixo Risco
45,1000.0,Regular,22,Financiada,Solteiro,1,24883.07,Negócio,Alto Risco
42,2985.97,Excelente,18,Financiada,Divorciado,1,18965.58,Veículo,Baixo Risco
56,2942.84,Regular,21,Própria,Solteiro,0,6200.73,Pessoal,Baixo Risco
50,1388.73,Regular,23,Alugada,Casado,1,21850.93,Imóvel,Alto Risco
18,2333.27,Bom,19,Própria,Solteiro,5,11723.09,Educação,Alto Risco
44,1834.14,Ruim,23,Alugada,Casado,1,13566.96,Pessoal,Alto Risco
69,6128.41,Ruim,17,Familiar,Divorciado,1,6872.25,Pessoal,Alto Risco
30,4903.52,Bom,9,Própria,Casado,2,20051.57,Educação,Baixo Risco
58,5407.33,Ruim,8,Financiada,Divorciado,1,13809.08,Negócio,Baixo Risco
20,4582.51,Excelente,24,Alugada,Solteiro,2,20390.06,Imóvel,Baixo Risco
56,1806.42,Bom,7,Alugada,Casado,0,10592.14,Pessoal,Alto Risco
23,2713.22,Excelente,9,Própria,Divorciado,0,9676.77,Negócio,Baixo Risco
25,4234.06,Ruim,16,Própria,Solteiro,0,9028.5,Educação,Baixo Risco
44,1666.81,Regular,1,Própria,Viúvo,2,18168.26,Veículo,Alto Risco
26,4569.5,Excelente,5,Própria,Solteiro,3,9557.2,Educação,Baixo Risco
54,3139.51,Bom,4,Própria,Solteiro,1,13375.1,Educação,Baixo Risco
50,2937.77,Regular,8,Alugada,Divorciado,0,10852.58,Negócio,Baixo Risco
68,4566.44,Excelente,4,Própria,Solteiro,0,18520.67,Educação,Baixo Risco
59,4166.39,Ruim,17,Financiada,Viúvo,3,1117.58,Imóvel,Baixo Risco
61,2958.55,Ruim,19,Alugada,Viúvo,1,16976.26,Imóvel,Alto Risco
41,5238.99,Regular,8,Alugada,Solteiro,0,28850.75,Veículo,Baixo Risco
32,1878.41,Ruim,16,Alugada,Casado,4,24888.21,Imóvel,Alto Risco
49,4423.9,Bom,16,Alugada,Solteiro,0,10066.78,Educação,Baixo Risco
49,4389.65,Ruim,11,Familiar,Casado,1,18956.81,Negócio,Alto Risco
41,3035.68,Regular,6,Própria,Solteiro,2,17404.52,Veículo,Baixo Risco
58,3989.2,Regular,2,Própria,Solteiro,0,26755.14,Imóvel,Alto Risco
69,1623.33,Excelente,9,Financiada,Casado,0,1000.0,Veículo,Baixo Risco
66,4886.04,Ruim,1,Própria,Casado,1,23902.94,Imóvel,Alto Risco
66,3222.65,Bom,24,Própria,Viúvo,2,12859.86,Imóvel,Baixo Risco
69,2715.92,Excelente,2,Própria,Divorciado,0,9054.17,Pessoal,Baixo Risco
29,5073.51,Excelente,15,Própria,Casado,0,8825.58,Veículo,Baixo Risco
56,2443.48,Regular,1,Alugada,Casado,1,4600.75,Pessoal,Alto Risco
19,1387.31,Regular,23,Própria,Divorciado,1,10087.05,Pessoal,Alto Risco
20,1165.06,Regular,9,Financiada,Solteiro,2,6362.13,Educação,Alto Risco
66,4409.01,Ruim,5,Financiada,Casado,1,16441.74,Pessoal,Alto Risco
54,1579.36,Excelente,21,Alugada,Viúvo,0,19719.5,Veículo,Alto Risco
66,6132.19,Regular,10,Alugada,Solteiro,3,12947.41,Pessoal,Baixo Risco
34,1000.0,Excelente,22,Financiada,Casado,3,26997.79,Pessoal,Alto Risco
66,6044.68,Ruim,6,Própria,Divorciado,3,10612.63,Educação,Alto Risco
19,3816.53,Ruim,14,Financiada,Divorciado,1,12529.1,Veículo,Alto Risco
19,3354.93,Regular,5,Financiada,Casado,1,11216.47,Educação,Baixo Risco
45,2682.62,Regular,19,Financiada,Solteiro,2,19788.95,Veículo,Alto Risco
40,4098.7,Bom,8,Alugada,Solteiro,0,20596.59,Pessoal,Baixo Risco
54,3443.55,Bom,21,Própria,Solteiro,0,18962.94,Veículo,Baixo Risco
49,5154.95,Ruim,19,Alugada,Casado,1,14007.13,Imóvel,Baixo Risco
50,3671.34,Bom,11,Financiada,Solteiro,0,4275.02,Imóvel,Baixo Risco
18,3725.45,Bom,18,Própria,Divorciado,0,12444.48,Negócio,Baixo Risco
36,2954.58,Bom,19,Financiada,Solteiro,1,26825.12,Imóvel,Baixo Risco
19,3414.58,Ruim,2,Própria,Solteiro,1,23105.9,Veículo,Alto Risco
61,3961.7,Bom,14,Própria,Casado,1,17352.4,Educação,Baixo Risco
43,1000.0,Excelente,1,Própria,Casado,1,11924.38,Negócio,Alto Risco
49,1477.72,Regular,20,Própria,Solteiro,4,14891.05,Veículo,Alto Risco
23,4614.9,Ruim,1,Alugada,Casado,2,11959.97,Pessoal,Alto Risco
49,3756.3,Excelente,21,Própria,Casado,2,24544.41,Imóvel,Baixo Risco
21,3224.02,Bom,2,Familiar,Solteiro,0,8288.26,Veículo,Baixo Risco
28,3527.65,Excelente,5,Alugada,Solteiro,0,22389.35,Negócio,Baixo Risco
34,4021.37,Bom,14,Própria,Divorciado,1,10766.38,Veículo,Baixo Risco
55,2690.36,Bom,9,Alugada,Casado,0,25567.41,Pessoal,Baixo Risco
41,2332.54,Regular,8,Financiada,Solteiro,0,18414.21,Negócio,Alto Risco
22,3793.77,Regular,0,Financiada,Divorciado,2,9004.9,Educação,Alto Risco
69,2032.44,Regular,15,Própria,Viúvo,0,12525.5,Pessoal,Alto Risco
51,4112.38,Bom,5,Financiada,Casado,0,20693.12,Negócio,Baixo Risco
23,1000.0,Ruim,8,Financiada,Casado,2,11006.86,Veículo,Alto Risco
39,5043.73,Bom,3,Própria,Divorciado,0,15177.09,Veículo,Baixo Risco
28,4208.9,Ruim,1,Própria,Viúvo,2,10896.45,Negócio,Alto Risco
65,3884.04,Regular,3,Alugada,Casado,0,29072.94,Veículo,Alto Risco
33,4974.04,Excelente,0,Própria,Casado,2,30448.58,Pessoal,Baixo Risco
50,5998.21,Regular,18,Financiada,Casado,2,26704.99,Veículo,Baixo Risco
26,5021.56,Bom,24,Própria,Casado,2,14005.01,Imóvel,Baixo Risco
23,1000.0,Regular,9,Familiar,Solteiro,1,11777.98,Pessoal,Alto Risco
33,1580.63,Excelente,20,Alugada,Casado,1,8766.69,Imóvel,Baixo Risco
46,2562.77,Excelente,14,Própria,Divorciado,2,27285.77,Imóvel,Baixo Risco
20,3539.14,Ruim,21,Própria,Casado,2,22445.79,Veículo,Alto Risco
37,4276.49,Bom,18,Alugada,Casado,2,22830.09,Imóvel,Baixo Risco
53,2411.38,Ruim,15,Financiada,Casado,1,13000.58,Educação,Alto Risco
36,3780.15,Bom,20,Financiada,Solteiro,0,1000.0,Veículo,Baixo Risco
43,2366.93,Regular,23,Própria,Casado,2,2776.34,Veículo,Baixo Risco
20,2582.72,Regular,21,Própria,Casado,1,15461.07,Pessoal,Alto Risco
36,1390.01,Regular,3,Própria,Solteiro,2,10818.61,Imóvel,Alto Risco
37,2115.15,Bom,1,Alugada,Solteiro,0,9898.39,Educação,Alto Risco
49,1472.47,Bom,24,Própria,Viúvo,3,17761.19,Veículo,Alto Risco
24,2036.19,Excelente,12,Alugada,Solteiro,1,23109.28,Veículo,Alto Risco
69,5080.46,Bom,0,Alugada,Solteiro,2,9390.18,Veículo,Baixo Risco
58,2075.9,Regular,16,Familiar,Viúvo,1,4555.12,Imóvel,Baixo Risco
50,7448.57,Ruim,12,Própria,Casado,2,9580.23,Pessoal,Baixo Risco
57,4239.98,Ruim,3,Própria,Casado,1,6648.29,Educação,Alto Risco
56,3777.25,Regular,6,Alugada,Divorciado,1,19742.66,Pessoal,Baixo Risco
35,2212.46,Regular,16,Alugada,Solteiro,1,14967.13,Imóvel,Alto Risco
57,4550.46,Regular,8,Própria,Casado,2,30043.91,Veículo,Baixo Risco
18,2636.54,Bom,3,Familiar,Casado,2,20877.48,Imóvel,Alto Risco
28,3683.01,Ruim,18,Financiada,Divorciado,0,29510.85,Pessoal,Alto Risco
45,7340.13,Regular,0,Própria,Casado,1,3769.0,Imóvel,Baixo Risco
42,3355.91,Regular,9,Própria,Casado,0,1000.0,Pessoal,Baixo Risco
67,5223.91,Excelente,3,Alugada,Casado,1,16943.94,Pessoal,Baixo Risco
40,2445.24,Bom,8,Financiada,Casado,0,15985.76,Veículo,Baixo Risco
48,3447.52,Bom,12,Própria,Casado,0,14017.72,Imóvel,Baixo Risco
47,6156.2,Ruim,13,Alugada,Casado,0,15766.37,Pessoal,Baixo Risco
59,2559.55,Regular,9,Alugada,Casado,0,6007.79,Pessoal,Baixo Risco
52,6218.67,Bom,5,Própria,Casado,1,19505.43,Educação,Baixo Risco
24,4561.63,Ruim,15,Alugada,Casado,1,20889.55,Educação,Alto Risco
33,2656.3,Excelente,5,Familiar,Casado,1,5402.01,Pessoal,Baixo Risco
43,4448.61,Bom,16,Própria,Divorciado,2,12170.91,Imóvel,Baixo Risco
65,4958.83,Excelente,9,Própria,Casado,2,12665.09,Veículo,Baixo Risco
69,4432.71,Regular,17,Alugada,Divorciado,3,9633.51,Imóvel,Baixo Risco
66,1144.66,Ruim,21,Financiada,Divorciado,4,5711.1,Educação,Alto Risco
19,2409.29,Bom,17,Familiar,Casado,1,15100.04,Pessoal,Alto Risco
18,3128.72,Ruim,2,Alugada,Casado,0,17086.44,Educação,Alto Risco
65,3388.35,Bom,19,Financiada,Divorciado,1,10118.54,Veículo,Baixo Risco
29,4431.01,Ruim,20,Alugada,Casado,0,6273.69,Imóvel,Baixo Risco
22,3766.55,Regular,24,Alugada,Divorciado,1,18284.46,Imóvel,Baixo Risco
54,1496.98,Ruim,14,Própria,Casado,2,8861.44,Negócio,Alto Risco
49,4070.3,Excelente,14,Própria,Casado,0,12526.36,Pessoal,Baixo Risco
26,4415.88,Ruim,3,Própria,Solteiro,0,11511.39,Pessoal,Alto Risco
58,4339.69,Regular,8,Alugada,Casado,1,24965.67,Pessoal,Baixo Risco
52,5121.17,Bom,18,Própria,Viúvo,1,9228.56,Negócio,Baixo Risco
36,4750.88,Ruim,23,Familiar,Casado,1,28804.21,Imóvel,Alto Risco
65,4188.77,Bom,16,Própria,Casado,1,21018.42,Imóvel,Baixo Risco
33,3394.75,Ruim,10,Própria,Divorciado,1,29567.19,Pessoal,Alto Risco
20,1008.56,Excelente,24,Alugada,Casado,1,20317.11,Educação,Alto Risco
37,4144.43,Regular,8,Financiada,Casado,1,13231.64,Educação,Baixo Risco
41,3811.53,Regular,9,Própria,Casado,0,7661.07,Imóvel,Baixo Risco
50,3907.37,Excelente,17,Própria,Casado,0,12156.71,Veículo,Baixo Risco
41,1584.88,Bom,19,Familiar,Solteiro,2,26898.25,Pessoal,Alto Risco
69,1878.42,Excelente,12,Própria,Casado,0,14616.49,Imóvel,Alto Risco
28,5079.73,Bom,7,Própria,Casado,0,20287.36,Imóvel,Baixo Risco
66,3440.67,Bom,6,Financiada,Casado,0,16655.77,Pessoal,Baixo Risco
25,4522.25,Regular,16,Própria,Casado,0,16997.29,Imóvel,Baixo Risco
53,3542.48,Bom,20,Alugada,Casado,2,17305.28,Pessoal,Baixo Risco
55,3544.63,Bom,22,Própria,Solteiro,1,18962.73,Educação,Baixo Risco
57,4907.43,Regular,14,Própria,Casado,1,8487.14,Veículo,Baixo Risco
37,2725.93,Excelente,19,Própria,Solteiro,4,12800.77,Pessoal,Baixo Risco
52,3644.18,Ruim,14,Própria,Casado,1,17474.51,Veículo,Alto Risco
65,2806.59,Ruim,0,Própria,Divorciado,2,16307.9,Veículo,Alto Risco
